state,density,average_listing_price,cluster
AK,1,323332.693894545,10
AL,99,251095.16358024688,0
AR,57,198316.72887115838,5
AZ,62,413499.72321428574,7
CA,253,896044.9153311966,1
CO,55,756309.6210690417,4
CT,744,512557.9375,2
DC,11294,970809.75,1
DE,508,372431.2777777778,6
FL,401,431180.13697318005,7
GA,186,288331.39902082935,0
HI,226,1548047.125,3
IA,57,202609.7638888889,5
ID,22,422205.7451923077,7
IL,230,185070.35651552287,5
IN,189,222233.17849099098,5
KS,35,184876.26255582517,5
KY,114,229981.63134430727,5
LA,107,241874.19337606835,0
MA,901,1066210.988095238,8
MD,636,429954.86805555556,7
ME,44,363930.2833333333,6
MI,178,270961.21814814815,0
MN,71,268292.33613351255,0
MO,89,223117.58555964052,5
MS,63,209818.22032828283,5
MT,7,447669.99164469977,7
NC,214,332548.09637533873,10
ND,11,273984.4043473416,0
NE,25,217954.66829123863,5
NH,153,413658.72222222225,7
NJ,1263,492118.10317460314,2
NM,17,326628.8323773449,10
NV,28,586436.9984848485,9
NY,428,439349.9657738095,7
OH,288,225535.2264416315,5
OK,57,210063.0642733135,5
OR,44,498158.8545493198,2
PA,290,249071.59722222222,0
RI,1061,695985.95,4
SC,170,323820.0329861111,10
SD,11,240102.03248392508,0
TN,167,316735.31569809944,10
TX,111,319409.85547544167,10
UT,39,540315.5625,9
VA,218,384979.5626843658,6
VT,69,382777.13690476195,6
WA,115,502630.0833333334,2
WI,108,302552.35307017545,10
WV,74,187127.50029550825,5
WY,5,466384.21111111116,2
